"keys","times_1_e_5","times_2_e_5","times_3_e_5","times_4_e_5","times_5_e_5","times_6_e_5","times_7_e_5","times_8_e_5","times_9_e_5","times_1_e_6"
1,0.022599999999987,0.0458000000000084,0.0645999999998821,0.0938000000000466,0.111199999999881,0.136800000000076,0.161200000000099,0.184799999999668,0.211199999999808,0.230399999999645
2,0.0171999999999861,0.0387999999999738,0.0584000000000742,0.0826000000000204,0.0995999999998094,0.123199999999997,0.143999999999942,0.167599999999802,0.188200000001088,0.210599999999249
3,0.0161999999999736,0.0339999999999691,0.0546000000001368,0.0707999999999811,0.0908000000000902,0.115200000000041,0.131800000000076,0.155199999999168,0.17600000000064,0.198599999999715
4,0.0162000000000027,0.0344000000000233,0.0533999999999651,0.0661999999999534,0.0902000000000771,0.110200000000186,0.124800000000469,0.147599999999948,0.16660000000018,0.182400000000343
5,0.0146000000000014,0.0309999999999582,0.0492000000000007,0.0688000000000102,0.0893999999997322,0.103200000000361,0.124600000000282,0.139200000000128,0.161800000000367,0.17760000000053
6,0.0144000000000079,0.0308000000000266,0.0505999999998676,0.0651999999998588,0.083600000000115,0.104399999999878,0.119599999999555,0.139599999999773,0.154999999999854,0.173199999999342
7,0.0140000000000171,0.0308000000000175,0.0485999999999513,0.0641999999999098,0.0839999999996871,0.0922000000001572,0.116600000000253,0.129999999999563,0.151199999999953,0.171799999999494
8,0.0122000000000119,0.0307999999999811,0.0477999999999338,0.0646000000001004,0.0751999999997497,0.0983999999997468,0.114400000000023,0.13019999999975,0.150200000000186,0.164600000000646
9,0.0123999999999981,0.0303999999999814,0.0487999999998829,0.0647999999999593,0.0773999999999069,0.0939999999997963,0.114999999999927,0.129399999999441,0.146199999999808,0.162599999999511
10,0.0135999999999891,0.0305999999999949,0.0463999999999942,0.0583999999999651,0.0750000000001819,0.0919999999998981,0.110800000000017,0.127200000000303,0.147600000000675,0.16059999999954
11,0.0125999999999948,0.0307999999999993,0.0431999999998334,0.0588000000001557,0.0738000000000102,0.0919999999999709,0.107399999999761,0.124400000000023,0.142400000000343,0.155800000000163
12,0.0134000000000004,0.0292000000000189,0.0428000000000065,0.0567999999999301,0.0729999999998836,0.0889999999997963,0.106600000000326,0.122999999999447,0.138199999999924,0.15820000000007
13,0.0130000000000011,0.0299999999999818,0.0449999999999636,0.0576000000000204,0.0738000000001557,0.0914000000002125,0.107199999999721,0.11960000000021,0.135599999999831,0.160200000000186
14,0.0140000000000008,0.0263999999999578,0.0431999999999061,0.0578000000000611,0.0719999999999345,0.0905999999999767,0.10660000000018,0.121199999999953,0.137200000000012,0.15219999999943
15,0.0127999999999812,0.0270000000000073,0.040799999999781,0.0559999999999491,0.0714000000001761,0.0886000000002241,0.106399999999921,0.119999999999854,0.135799999999581,0.15199999999968
16,0.0129999999999955,0.0269999999998799,0.0427999999999702,0.0555999999999767,0.0711999999999171,0.0878000000002794,0.103999999999796,0.115799999999726,0.134399999999878,0.151599999999453
17,0.0109999999999991,0.0268000000000302,0.0415999999998166,0.0545999999999549,0.0713999999999942,0.0888000000003376,0.103800000000192,0.116199999999953,0.131999999999971,0.149199999999691
18,0.0126000000000047,0.0272000000000571,0.0411999999999534,0.0544000000000233,0.0743999999997322,0.0864000000005763,0.100999999999767,0.120800000000017,0.133600000000006,0.148000000000029
19,0.0104000000000032,0.0265999999999895,0.0425999999999476,0.0560000000000946,0.0717999999999302,0.0880000000001746,0.102999999999956,0.112799999999988,0.129600000000355,0.146399999999558
20,0.0139999999999888,0.0286000000000513,0.0407999999998174,0.0542000000000189,0.070199999999968,0.0852000000001863,0.0988000000003376,0.113400000000256,0.134800000001414,0.146599999999889
21,0.0115999999999923,0.0262000000000899,0.0383999999999651,0.0542000000000189,0.0697999999999229,0.0834000000001106,0.0978000000004249,0.116800000000512,0.130999999999767,0.147200000000448
22,0.0121999999999933,0.0250000000000364,0.0400000000000728,0.0552000000000044,0.0676000000000568,0.0861999999999534,0.102799999999697,0.112599999999802,0.132800000000425,0.145800000000163
23,0.011999999999996,0.0277999999999884,0.03799999999992,0.0532000000000335,0.0685999999997875,0.0808000000002357,0.0982000000002154,0.114599999999919,0.131600000000763,0.142199999999866
24,0.0124000000000036,0.025799999999972,0.0374000000001615,0.0572000000000116,0.0679999999998836,0.0830000000003201,0.0976000000002386,0.116399999999994,0.12859999999986,0.141599999999598
25,0.0127999999999815,0.02600000000004,0.0385999999999694,0.0539999999998327,0.0700000000000364,0.0816000000001804,0.0934000000003289,0.113800000000047,0.130600000000122,0.142400000000052
26,0.0107999999999976,0.0263999999999942,0.0362000000000808,0.0539999999999054,0.0690000000003056,0.0801999999996769,0.0959999999999854,0.112600000000093,0.125999999999767,0.14359999999986
27,0.00940000000000382,0.0279999999999927,0.036200000000099,0.0523999999999069,0.0645999999999185,0.0840000000001601,0.101199999999881,0.109599999999919,0.126999999999825,0.142999999999738
28,0.0102000000000021,0.0267999999999574,0.0388000000000648,0.0527999999999156,0.067799999999952,0.0805999999998312,0.099399999999805,0.11160000000018,0.12739999999947,0.138200000000215
29,0.0111999999999979,0.0259999999999491,0.0370000000000618,0.0516000000001077,0.0682000000001062,0.0786000000001513,0.0968000000000029,0.111199999999662,0.125600000000413,0.140400000000227
30,0.0127999999999781,0.0248000000000229,0.0368000000000393,0.0508000000002721,0.0659999999998035,0.0804000000002998,0.0958000000003085,0.112399999999761,0.124400000000023,0.140999999999185
31,0.0127999999999942,0.0255999999999312,0.0372000000000298,0.048200000000179,0.065199999999968,0.0814000000001397,0.0954000000000087,0.10879999999961,0.126199999999371,0.138800000000192
32,0.0113999999999974,0.0256000000000586,0.0383999999998014,0.0516000000000713,0.0675999999999476,0.0828000000003522,0.0930000000000291,0.110599999999977,0.125999999999622,0.141200000000536
33,0.0110000000000079,0.0249999999999545,0.0391999999998916,0.0513999999998123,0.0658000000000175,0.0792000000001281,0.0963999999998487,0.110799999999872,0.125000000000291,0.144000000000233
34,0.0131999999999849,0.0243999999999778,0.0397999999998683,0.0515999999997803,0.0657999999998719,0.0798000000001775,0.0959999999999127,0.110200000000332,0.124199999999255,0.140399999999063
